Time [s],Channel 0,Channel 1
106.691141510,0,1
106.708006010,0,0
106.715566980,1,0
106.728294500,1,1
106.731385670,0,1
106.747945280,0,0
106.750973640,1,0
106.768030210,1,1
106.770920370,0,1
106.787998080,0,0
106.791111550,1,0
106.807987630,1,1
106.810842580,0,1
106.828271900,0,0
106.831256730,1,0
106.848097390,1,1
106.850955180,0,1
106.868002880,0,0
106.871081780,1,0
106.888031960,1,1
106.890891020,0,1
106.907948400,0,0
106.910912450,1,0
106.928019390,1,1
106.930865210,0,1
106.947949740,0,0
106.951078360,1,0
106.968022360,1,1
106.970926160,0,1
106.988026100,0,0
106.990998970,1,0
107.008087970,1,1
107.010982520,0,1
107.028116500,0,0
107.031059630,1,0
107.048076710,1,1
107.050947660,0,1
107.067963230,0,0
107.070925210,1,0
107.088014270,1,1
107.090931150,0,1
107.108246310,0,0
107.111361510,1,0
107.127968300,1,1
107.130869470,0,1
107.148091960,0,0
107.151063640,1,0
107.168310180,1,1
107.171194810,0,1
107.189026990,0,0
107.192073950,1,0
107.208052250,1,1
107.210954010,0,1
107.227950370,0,0
107.230950710,1,0
107.248063700,1,1
107.250961830,0,1
107.268013560,0,0
107.271103600,1,0
107.288971060,1,1
107.291995550,0,1
107.308056780,0,0
107.311041300,1,0
107.328081210,1,1
107.330943290,0,1
107.347973450,0,0
107.350953240,1,0
107.368432710,1,1
107.371430330,0,1
107.387921280,0,0
107.390928750,1,0
107.408042560,1,1
107.410915500,0,1
107.428001390,0,0
107.431142820,1,0
107.447987520,1,1
107.450842260,0,1
107.468151850,0,0
107.471143290,1,0
107.487934310,1,1
107.490790150,0,1
107.507933410,0,0
107.510891640,1,0
107.528011850,1,1
107.530920020,0,1
107.547924810,0,0
107.550909650,1,0
107.568082200,1,1
107.570980210,0,1
107.587941060,0,0
107.591022270,1,0
107.607981940,1,1
107.610866980,0,1
107.628033170,0,0
107.631034820,1,0
107.648186240,1,1
107.651064800,0,1
107.667957340,0,0
107.670973150,1,0
107.688055220,1,1
107.690939450,0,1
107.708113410,0,0
107.715684500,1,0
107.728451080,1,1
107.731354640,0,1
107.748024960,0,0
107.751144800,1,0
107.767978730,1,1
107.770882280,0,1
107.788049350,0,0
107.791015930,1,0
107.807971290,1,1
107.810821190,0,1
107.827966700,0,0
107.830923300,1,0
107.848025950,1,1
107.850896600,0,1
107.867849150,0,0
107.870846370,1,0
107.888054100,1,1
107.890977740,0,1
107.907965650,0,0
107.911163210,1,0
107.928006500,1,1
107.930876520,0,1
107.948060410,0,0
107.951052770,1,0
107.968073180,1,1
107.970996040,0,1
107.987964330,0,0
107.990931890,1,0
108.008028050,1,1
108.010840780,0,1
108.027980700,0,0
108.031112740,1,0
108.048000400,1,1
108.050879780,0,1
108.067957160,0,0
108.071008510,1,0
108.088020680,1,1
108.090899060,0,1
108.108050980,0,0
108.111160420,1,0
108.128194330,1,1
108.131124970,0,1
108.147988190,0,0
108.150990160,1,0
108.168199070,1,1
108.171111740,0,1
108.188049890,0,0
108.191871330,1,0
108.208283350,1,1
108.211200920,0,1
108.228014100,0,0
108.231144230,1,0
108.248002610,1,1
108.250946430,0,1
108.268141800,0,0
108.271148340,1,0
108.288117950,1,1
108.291128590,0,1
108.307969900,0,0
108.310978120,1,0
108.328211340,1,1
108.331092690,0,1
108.348027190,0,0
108.351051070,1,0
108.368098140,1,1
108.370959300,0,1
108.388094590,0,0
108.391321340,1,0
108.408006450,1,1
108.410901230,0,1
108.428022840,0,0
108.431006830,1,0
108.448067240,1,1
108.450938950,0,1
108.468160250,0,0
108.471153060,1,0
108.488064260,1,1
108.490951550,0,1
108.508042440,0,0
108.511036120,1,0
